route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
03C 120 e a,03C,120,Dublin - Edenderry,,3,,,
03C 120A e a,03C,120A,Dublin - Edenderry,,3,,,
03C 120B e a,03C,120B,Dublin - Newbridge,,3,,,
03C 120C e a,03C,120C,Enfield - Tullamore,,3,,,
03C 120D e a,03C,120D,Enfield - Tullamore,,3,,,
03C 120E e a,03C,120E,Dublin - Edenderry,,3,,,
03C 120F e a,03C,120F,Connolly Station - Newbridge Centre,,3,,,
03C 120X e a,03C,120X,Dublin - Edenderry,,3,,,
03C 125 e a,03C,125,UCD - Newbridge,,3,,,
03C 126 e a,03C,126,Dublin - Rathangan,,3,,,
03C 126A e a,03C,126A,Dublin - Kildare,,3,,,
03C 126B e a,03C,126B,Dublin - Rathangan,,3,,,
03C 126D e a,03C,126D,Dublin - Kildare,,3,,,
03C 126E e a,03C,126E,Dublin - Kildare,,3,,,
03C 126N e a,03C,126N,Dublin - Newbridge,,3,,,
03C 126T e a,03C,126T,Dublin - Kildare,,3,,,
03C 126U e a,03C,126U,Dublin UCD - Kildare,,3,,,
03C 126X e a,03C,126X,Dublin - Rathangan,,3,,,
03C 130 e a,03C,130,Dublin - Athy,,3,,,
03C 130A e a,03C,130A,Dublin - Athy,,3,,,
1 1 e a,1,1,Sandymount - O'Connell Street - Santry,,3,,,
1 11 c a,1,11,Phoenix Park - Sandyford Business District,,3,,,
1 116 c a,1,116,Whitechurch - Parnell Square,,3,,,
1 118 c a,1,118,Kilternan - Eden Quay,,3,,,
1 11B a,1,11B,Phoenix Park - Donnybrook,,3,,,
1 120 c a,1,120,Ashtown Station - Parnell St,,3,,,
1 122 c a,1,122,Drimnagh - Ashington,,3,,,
1 13 c a,1,13,Grange Castle - Harristown,,3,,,
1 130 c a,1,130,Talbot Street - Castle Avenue,,3,,,
1 14 c a,1,14,Dundrum Luas Stn - Ardlea Rd (Beaumont),,3,,,
1 142 e a,1,142,Portmarnock - UCD (Belfield),,3,,,
1 15 c a,1,15,Ballycullen Road - Clongriffin,,3,,,
1 150 c a,1,150,Rossmore - Hawkins Street,,3,,,
1 151 c a,1,151,Foxborough (Balgaddy Rd) - Docklands (East Rd),,3,,,
1 15A c a,1,15A,Merrion Square - Limekiln Avenue,,3,,,
1 15B c a,1,15B,Merrion Square - Stocking Avenue,,3,,,
1 15D c a,1,15D,Merrion Square - Whitechurch,,3,,,
1 16 c a,1,16,Ballinteer - Dublin Airport,,3,,,
1 16D c a,1,16D,Airport - Beaumont Village - Ballinteer not,,3,,,
1 19 a,1,19,Parnell Square West - Dublin Airport,,3,,,
1 23 a,1,23,Merrion Square - Charlestown SC,,3,,,
1 24 a,1,24,Merrion Square - Dublin Airport,,3,,,
1 27 c a,1,27,Jobstown - Clare Hall,,3,,,
1 27A c a,1,27A,Blunden Drive - Eden Quay,,3,,,
1 27B c a,1,27B,Eden Quay - Harristown,,3,,,
1 27X c a,1,27X,Clare Hall - UCD Belfield,,3,,,
1 32X c a,1,32X,UCD Belfield - Malahide,,3,,,
1 33 c a,1,33,Balbriggan - Lower Abbey St,,3,,,
1 33D c a,1,33D,Portrane - St Stephens Green,,3,,,
1 33E c a,1,33E,Lwr Abbey St - Portrane - Skerries,,3,,,
1 33X c a,1,33X,Skerries - Custom House Quay / St Stephen Green,,3,,,
1 37 c a,1,37,Blanchardstown Shopping Centre - Wilton Terrace,,3,,,
1 38 c a,1,38,Damastown - Burlington Road,,3,,,
1 38A c a,1,38A,Damastown via Navan Rd - Burlington Rd,,3,,,
1 38B c a,1,38B,Damastown via Ballycoolin Ind Est - Burlington Rd,,3,,,
1 38D c a,1,38D,IBM Damastown via N3 - Burlington Rd,,3,,,
1 39 c a,1,39,Ongar - Burlington Rd,,3,,,
1 39A c a,1,39A,Ongar - UCD Belfield,,3,,,
1 39X c a,1,39X,Ongar - Burlington Road,,3,,,
1 4 c a,1,4,Monkstown Avenue - Heuston Station,,3,,,
1 40D c a,1,40D,Tyrrelstown - Parnell Street,,3,,,
1 40E c a,1,40E,Broombridge Luas - Tyrrelstown,,3,,,
1 41 c a,1,41,Swords Manor - Lower Abbey Street,,3,,,
1 41B c a,1,41B,Rolestown - Lower Abbey Street,,3,,,
1 41C c a,1,41C,Swords Manor Via River Valley - Lower Abbey St,,3,,,
1 41D c a,1,41D,Swords Business Park - Lwr Abbey St,,3,,,
1 41X c a,1,41X,Swords - UCD Belfield,,3,,,
1 42 c a,1,42,Sand's Hotel Portmarnock - Eden Quay,,3,,,
1 43 c a,1,43,Talbot Street - Swords Business Park,,3,,,
1 44 c a,1,44,Enniskerry - DCU,,3,,,
1 44B c a,1,44B,Glencullen - Dundrum Luas,,3,,,
1 44D a,1,44D,Dundrum - OCS,,3,,,
1 47 c a,1,47,Poolbeg Street - Belarmine,,3,,,
1 51D c a,1,51D,Aston Quay - Clondalkin,,3,,,
1 52 b,1,52,Intel - Ringsend,,3,,,
1 53 c a,1,53,Dublin Ferryport - Talbot St,,3,,,
1 56A c a,1,56A,Tallaght - Ringsend Rd,,3,,,
1 6 c a,1,6,Howth Dart Stn - Lower Abbey Street,,3,,,
1 60,1,60,Forbes Street - Tallaght,,3,,,
1 65 e,1,65,Poolbeg Street - Blessington/Ballymore,,3,,,
1 65A a,1,65A,Route 65A Tallaght Sq - Blessington,,3,,,
1 65B c a,1,65B,Poolbeg Street - Citywest,,3,,,
1 68 c a,1,68,Newcastle / Greenogue Business Pk - Hawkins St,,3,,,
